"week","day","prior.R0","prior.r","prior.Delta","prior.Alpha","prior.Kappa","prior.p_V"
0,0,3.65,0.19,0.56,0.14,0.6,0.27
1,45,3.65,0.19,0.56,0.14,0.6,0.27
2,52,3.56761428571429,0.19,0.56,0.14,0.6,0.27
3,59,2.4966,0.19,0.56,0.14,0.6,0.27
4,66,1.17842857142857,0.19,0.56,0.14,0.6,0.27
5,73,0.7665,0.19,0.56,0.14,0.6,0.27
6,80,0.7665,0.19,0.56,0.14,0.6,0.27
7,87,0.7665,0.19,0.56,0.14,0.6,0.27
8,94,0.7665,0.192002341920375,0.56,0.14,0.6,0.27
9,101,0.818642857142857,0.206352459016393,0.559937888198758,0.139860248447205,0.599922360248447,0.27
10,108,0.9855,0.222704918032787,0.557826086956522,0.135108695652174,0.597282608695652,0.27
11,115,1.15235714285714,0.23905737704918,0.554782608695652,0.128260869565217,0.593478260869565,0.27
12,122,1.2045,0.255409836065574,0.551739130434783,0.121413043478261,0.589673913043478,0.27
13,129,1.2045,0.271762295081967,0.548695652173913,0.114565217391304,0.585869565217391,0.27
14,136,1.2045,0.288114754098361,0.545652173913044,0.107717391304348,0.582065217391304,0.27
15,143,1.2045,0.304467213114754,0.542608695652174,0.100869565217391,0.578260869565217,0.27
16,150,1.2045,0.320819672131147,0.539565217391304,0.0940217391304348,0.574456521739131,0.27
17,157,1.2045,0.337172131147541,0.536521739130435,0.0871739130434783,0.570652173913044,0.27
18,164,1.19615714285714,0.353524590163934,0.533478260869565,0.0803260869565218,0.566847826086956,0.27
19,171,1.13636666666667,0.369877049180328,0.530434782608696,0.0734782608695652,0.56304347826087,0.27
20,178,1.06823333333333,0.386229508196721,0.527391304347826,0.0666304347826087,0.559239130434783,0.27
21,185,1.0001,0.402581967213115,0.524347826086957,0.0597826086956522,0.555434782608696,0.27
22,192,0.931966666666666,0.418934426229508,0.521304347826087,0.0529347826086957,0.551630434782609,0.27
23,199,0.863833333333333,0.435286885245902,0.52,0.05,0.55,0.27
24,206,0.7957,0.451639344262295,0.52,0.05,0.55,0.27
25,213,0.7665,0.467991803278689,0.52,0.05,0.55,0.27
26,220,0.7665,0.475,0.52,0.05,0.55,0.27
27,227,0.7665,0.475,0.52,0.05,0.55,0.27
28,234,0.7665,0.475,0.52,0.05,0.55,0.27
29,241,0.7665,0.475,0.52,0.05,0.55,0.27
30,248,0.7665,0.475,0.52,0.05,0.55,0.27
31,255,0.7665,0.475,0.52,0.05,0.55,0.27
32,262,0.7665,0.475,0.52,0.05,0.55,0.27
33,269,0.7665,0.475,0.52,0.05,0.55,0.27
34,276,0.7665,0.475,0.52,0.05,0.55,0.27
35,283,1.78067857142857,0.475,0.52,0.05,0.55,0.27
36,290,2.09875,0.475,0.52,0.05,0.55,0.27
37,297,2.09875,0.475,0.52,0.05,0.55,0.27
38,304,2.09875,0.475,0.52,0.05,0.55,0.27
39,311,2.09875,0.475,0.52,0.05,0.55,0.27
40,318,2.09875,0.475,0.52,0.05,0.55,0.27
41,325,2.09875,0.475,0.52,0.05,0.55,0.27
42,332,2.09875,0.475,0.52,0.05,0.55,0.27
43,339,1.049375,0.475,0.521632653061225,0.05,0.55,0.27
44,346,1.01189732142857,0.475,0.575510204081633,0.05,0.55,0.27
45,353,0.7266921875,0.475,0.6,0.05,0.55,0.27
46,360,0.588774330357143,0.475,0.6,0.05,0.55,0.27
47,367,0.545675,0.475,0.6,0.05,0.55,0.27
48,374,0.545675,0.475,0.6,0.05,0.55,0.27
49,381,0.545675,0.475,0.6,0.05,0.55,0.27
50,388,0.545675,0.475,0.6,0.05,0.55,0.27
51,395,0.545675,0.475,0.6,0.05,0.55,0.27
52,402,0.545675,0.475,0.6,0.05,0.55,0.27
53,409,0.545675,0.475,0.6,0.05,0.55,0.27
54,416,0.545675,0.475,0.6,0.05,0.55,0.27
55,423,0.545675,0.475,0.6,0.05,0.55,0.27
56,430,0.545675,0.475,0.6,0.05,0.55,0.27
57,437,0.545675,0.475,0.6,0.05,0.55,0.27
58,444,0.545675,0.475,0.6,0.05,0.55,0.27
59,451,0.545675,0.475,0.6,0.05,0.55,0.27
60,458,0.545675,0.475,0.6,0.05,0.55,0.27
61,465,0.545675,0.475,0.6,0.05,0.55,0.27
62,472,0.545675,0.475,0.6,0.05,0.55,0.27
63,479,0.545675,0.475,0.6,0.05,0.55,0.27
64,486,0.545675,0.475,0.6,0.05,0.55,0.27
65,493,0.545675,0.475,0.6,0.05,0.55,0.27
66,500,0.545675,0.475,0.6,0.05,0.55,0.27
67,507,0.545675,0.475,0.6,0.05,0.55,0.27
68,514,0.545675,0.475,0.6,0.05,0.55,0.27
69,521,0.545675,0.475,0.6,0.05,0.55,0.27
70,528,0.545675,0.475,0.6,0.05,0.55,0.27
71,535,0.545675,0.475,0.6,0.05,0.55,0.27
72,542,0.545675,0.475,0.6,0.05,0.55,0.27
73,549,0.545675,0.475,0.6,0.05,0.55,0.27
74,556,0.545675,0.475,0.6,0.05,0.55,0.27
75,563,0.545675,0.475,0.6,0.05,0.55,0.27
76,570,0.545675,0.475,0.6,0.05,0.55,0.27
77,577,0.545675,0.475,0.6,0.05,0.55,0.27
78,584,0.545675,0.475,0.6,0.05,0.55,0.27
79,591,0.545675,0.475,0.6,0.05,0.55,0.27
80,598,0.545675,0.475,0.6,0.05,0.55,0.27
81,605,0.545675,0.475,0.6,0.05,0.55,0.27
82,612,1.09135,0.475,0.6,0.05,0.55,0.27
83,619,1.09135,0.475,0.6,0.05,0.55,0.27
84,626,1.09135,0.475,0.6,0.05,0.55,0.27
85,633,1.09135,0.475,0.6,0.05,0.55,0.27
86,640,1.09135,0.475,0.6,0.05,0.55,0.27
87,647,1.09135,0,0.6,0.05,0.55,0.27
88,654,1.09135,0,0.6,0.05,0.55,0.27
89,661,1.09135,0,0.6,0.05,0.55,0.27
90,668,1.09135,0,0.6,0.05,0.55,0.27
91,675,1.09135,0,0.6,0.05,0.55,0.27
92,682,1.09135,0,0.6,0.05,0.55,0.27
93,689,0,0,0.6,0.05,0.55,0.27
94,696,0,0,0.6,0.05,0.55,0.27
95,703,0,0,0,0,0,0.27
96,710,0,0,0,0,0,0.27
97,717,0,0,0,0,0,0.27
98,724,0,0,0,0,0,0.27
99,731,0,0,0,0,0,0.27
